,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
5157,5158,1,1,1982,1,DO,F,37.0,49.0
5158,5159,1,1,1982,5,DM,F,34.0,42.0
5159,5160,1,1,1982,3,RM,F,16.0,11.0
5160,5161,1,1,1982,5,NL,F,33.0,193.0
5161,5162,1,1,1982,3,RM,F,17.0,10.0
5162,5163,1,1,1982,3,NL,F,34.0,163.0
5163,5164,1,1,1982,2,DS,F,49.0,78.0
5164,5165,1,1,1982,3,PF,M,15.0,6.0
5165,5166,1,1,1982,4,DM,M,36.0,49.0
5166,5167,1,1,1982,2,DM,M,35.0,45.0
5167,5168,1,1,1982,4,DS,M,52.0,117.0
5168,5169,1,1,1982,5,DM,F,35.0,49.0
5169,5170,1,1,1982,6,DS,F,49.0,124.0
5170,5171,1,1,1982,1,DS,M,52.0,168.0
5171,5172,1,1,1982,1,DS,M,53.0,160.0
5172,5173,1,1,1982,2,DS,M,50.0,83.0
5173,5174,1,1,1982,3,PM,M,20.0,24.0
5174,5175,1,1,1982,5,DM,M,36.0,40.0
5175,5176,1,1,1982,5,RM,M,16.0,9.0
5176,5177,1,1,1982,2,DO,F,37.0,61.0
5177,5178,1,1,1982,2,PE,F,20.0,25.0
5178,5179,1,1,1982,1,DO,F,37.0,38.0
5180,5181,1,1,1982,1,DM,M,37.0,51.0
5181,5182,1,1,1982,3,RM,F,16.0,15.0
5182,5183,1,1,1982,4,DM,F,36.0,51.0
5183,5184,1,1,1982,2,PE,F,19.0,21.0
5184,5185,1,1,1982,5,DM,M,38.0,56.0
5185,5186,1,1,1982,1,DM,M,35.0,42.0
5186,5187,1,1,1982,2,OL,F,21.0,27.0
5187,5188,1,1,1982,3,RM,F,16.0,16.0
5188,5189,1,1,1982,1,DO,F,36.0,55.0
5189,5190,1,1,1982,2,RM,F,17.0,11.0
5190,5191,1,1,1982,4,DM,M,36.0,34.0
5191,5192,1,1,1982,2,PE,M,18.0,24.0
5192,5193,1,1,1982,4,DM,F,37.0,38.0
5193,5194,1,1,1982,5,DM,M,36.0,53.0
5194,5195,1,1,1982,6,NL,M,35.0,152.0
5195,5196,1,1,1982,2,PE,M,19.0,25.0
5196,5197,1,1,1982,4,DS,M,52.0,155.0
5197,5198,1,1,1982,5,DM,M,37.0,47.0
5198,5199,1,24,1982,11,DM,M,36.0,48.0
5199,5200,1,24,1982,24,PE,M,20.0,22.0
5200,5201,1,24,1982,12,NL,F,32.0,220.0
5201,5202,1,24,1982,19,PF,M,15.0,7.0
5204,5205,1,24,1982,24,DM,M,35.0,33.0
5205,5206,1,24,1982,20,DO,M,37.0,38.0
5206,5207,1,24,1982,24,DO,M,34.0,42.0
5207,5208,1,24,1982,1,DO,F,37.0,48.0
5208,5209,1,24,1982,11,DM,F,35.0,44.0
5209,5210,1,24,1982,12,DM,M,38.0,48.0
5210,5211,1,24,1982,23,RM,M,16.0,9.0
5211,5212,1,24,1982,21,RM,F,16.0,8.0
5212,5213,1,24,1982,7,PE,F,19.0,22.0
5213,5214,1,24,1982,11,DS,F,49.0,149.0
5214,5215,1,24,1982,19,PM,M,21.0,24.0
5215,5216,1,24,1982,18,DS,F,51.0,120.0
5216,5217,1,24,1982,12,RM,F,18.0,13.0
5217,5218,1,24,1982,11,NL,M,34.0,168.0
5218,5219,1,24,1982,12,DM,M,38.0,48.0
5220,5221,1,24,1982,12,DM,F,38.0,44.0
5222,5223,1,24,1982,11,DM,F,37.0,46.0
5223,5224,1,24,1982,12,RM,M,15.0,7.0
5224,5225,1,24,1982,24,PE,F,20.0,21.0
5225,5226,1,24,1982,11,DM,M,36.0,51.0
5226,5227,1,24,1982,24,DM,F,33.0,30.0
5227,5228,1,24,1982,20,RM,M,16.0,11.0
5229,5230,1,24,1982,19,RM,M,17.0,12.0
5230,5231,1,24,1982,22,DS,M,51.0,133.0
5231,5232,1,24,1982,9,DO,F,35.0,44.0
5232,5233,1,24,1982,9,DS,F,51.0,151.0
5233,5234,1,24,1982,10,PM,M,19.0,20.0
5234,5235,1,24,1982,11,DM,M,38.0,44.0
5235,5236,1,24,1982,10,PM,F,20.0,19.0
5236,5237,1,24,1982,12,DM,M,37.0,48.0
5237,5238,1,24,1982,1,DM,M,36.0,39.0
5238,5239,1,24,1982,1,DO,M,37.0,45.0
5239,5240,1,24,1982,10,RM,M,17.0,10.0
5241,5242,1,24,1982,11,RM,F,17.0,14.0
5242,5243,1,24,1982,20,DS,F,51.0,190.0
5244,5245,1,24,1982,21,RM,M,14.0,11.0
5245,5246,1,24,1982,24,RM,M,16.0,10.0
