,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
3685,3686,1,11,1981,11,DM,M,36.0,34.0
3686,3687,1,11,1981,20,PE,F,19.0,19.0
3687,3688,1,11,1981,13,DM,M,36.0,49.0
3688,3689,1,11,1981,8,DS,M,50.0,140.0
3689,3690,1,11,1981,11,DM,F,35.0,46.0
3690,3691,1,11,1981,13,NL,F,29.0,118.0
3691,3692,1,11,1981,20,DM,M,37.0,38.0
3692,3693,1,11,1981,24,NL,F,32.0,192.0
3693,3694,1,11,1981,24,DO,F,34.0,49.0
3694,3695,1,11,1981,11,DS,M,50.0,130.0
3695,3696,1,11,1981,8,DO,F,35.0,57.0
3696,3697,1,11,1981,10,DM,M,36.0,49.0
3697,3698,1,11,1981,19,RM,M,16.0,11.0
3698,3699,1,11,1981,20,OL,M,19.0,37.0
3700,3701,1,11,1981,13,OT,M,22.0,24.0
3702,3703,1,11,1981,19,PF,M,15.0,9.0
3703,3704,1,11,1981,17,OL,F,19.0,34.0
3706,3707,1,11,1981,11,PP,F,20.0,14.0
3707,3708,1,11,1981,18,DS,M,48.0,130.0
3708,3709,1,11,1981,19,RM,F,16.0,12.0
3709,3710,1,11,1981,20,DS,F,51.0,158.0
3710,3711,1,11,1981,8,DO,F,34.0,57.0
3711,3712,1,11,1981,17,DS,F,47.0,116.0
3712,3713,1,11,1981,18,DM,F,33.0,34.0
3713,3714,1,11,1981,20,OT,F,17.0,24.0
3714,3715,1,11,1981,22,DS,F,49.0,131.0
3715,3716,1,11,1981,22,DS,F,48.0,136.0
3717,3718,1,11,1981,10,OL,M,20.0,37.0
3718,3719,1,11,1981,17,OT,M,19.0,24.0
3719,3720,1,11,1981,17,DS,M,50.0,148.0
3720,3721,1,11,1981,17,DM,F,37.0,48.0
3722,3723,1,11,1981,17,DO,F,36.0,46.0
3723,3724,1,11,1981,20,OT,M,19.0,28.0
3724,3725,1,11,1981,24,DM,F,36.0,46.0
3725,3726,1,11,1981,13,OL,F,17.0,36.0
3726,3727,1,11,1981,8,DS,M,49.0,139.0
3727,3728,1,11,1981,13,DS,F,47.0,120.0
3728,3729,1,11,1981,17,OT,F,19.0,28.0
3729,3730,1,11,1981,10,DM,M,36.0,43.0
3733,3734,1,12,1981,1,OL,F,20.0,33.0
3734,3735,1,12,1981,1,DO,M,32.0,39.0
3735,3736,1,12,1981,1,DM,M,36.0,51.0
3736,3737,1,12,1981,1,DM,F,35.0,45.0
3737,3738,1,12,1981,2,DM,M,35.0,47.0
3738,3739,1,12,1981,2,DO,M,34.0,45.0
3739,3740,1,12,1981,2,OT,M,20.0,27.0
3740,3741,1,12,1981,2,DM,M,37.0,50.0
3741,3742,1,12,1981,3,DS,F,51.0,136.0
3742,3743,1,12,1981,3,DS,M,48.0,121.0
3743,3744,1,12,1981,3,DM,F,36.0,46.0
3744,3745,1,12,1981,3,DM,F,37.0,40.0
3745,3746,1,12,1981,4,DM,F,36.0,37.0
3746,3747,1,12,1981,4,NL,F,33.0,200.0
3747,3748,1,12,1981,5,DM,M,37.0,55.0
3748,3749,1,12,1981,5,DM,M,36.0,48.0
3749,3750,1,12,1981,6,DM,F,36.0,41.0
3750,3751,1,12,1981,6,DM,F,36.0,47.0
3751,3752,1,12,1981,6,DS,M,50.0,127.0
3752,3753,1,12,1981,6,OT,M,20.0,24.0
3753,3754,1,12,1981,6,DS,M,48.0,132.0
3754,3755,1,12,1981,6,DS,M,53.0,123.0
3755,3756,1,12,1981,8,DM,M,35.0,49.0
3756,3757,1,12,1981,8,DS,M,50.0,148.0
3757,3758,1,12,1981,8,DO,M,35.0,57.0
3758,3759,1,12,1981,9,DS,M,46.0,124.0
3759,3760,1,12,1981,9,DO,F,36.0,59.0
3760,3761,1,12,1981,9,DM,F,35.0,47.0
3761,3762,1,12,1981,9,DM,F,35.0,40.0
3762,3763,1,12,1981,9,DM,M,37.0,48.0
3763,3764,1,12,1981,10,PE,M,21.0,25.0
3764,3765,1,12,1981,10,PM,F,19.0,26.0
3765,3766,1,12,1981,10,DS,F,45.0,130.0
3766,3767,1,12,1981,11,DS,M,49.0,128.0
3767,3768,1,12,1981,12,DM,M,35.0,49.0
3768,3769,1,12,1981,12,DM,F,34.0,32.0
3769,3770,1,12,1981,12,DM,M,37.0,50.0
3770,3771,1,12,1981,12,DM,F,37.0,47.0
3771,3772,1,12,1981,14,DS,F,47.0,138.0
3772,3773,1,12,1981,14,DM,F,36.0,55.0
3773,3774,1,12,1981,14,DM,M,36.0,53.0
3775,3776,1,12,1981,9,DO,M,37.0,37.0
3776,3777,1,12,1981,1,NL,M,35.0,173.0
3777,3778,1,12,1981,2,DS,F,51.0,150.0
3778,3779,1,12,1981,5,OL,F,20.0,37.0
3779,3780,1,12,1981,12,RM,M,16.0,11.0
3780,3781,1,12,1981,2,DM,M,35.0,54.0
3781,3782,1,12,1981,5,DM,F,34.0,47.0
3782,3783,1,12,1981,15,PF,F,15.0,7.0
3783,3784,1,12,1981,1,DS,M,57.0,156.0
3784,3785,1,12,1981,12,NL,F,33.0,199.0
3785,3786,1,12,1981,14,DM,F,35.0,53.0
3786,3787,1,12,1981,15,OL,F,20.0,32.0
3787,3788,1,12,1981,6,DS,F,48.0,135.0
3789,3790,1,12,1981,2,DM,M,35.0,41.0
3790,3791,1,12,1981,6,PF,M,15.0,8.0
3791,3792,1,12,1981,12,DM,M,37.0,50.0
3792,3793,1,12,1981,12,DS,M,52.0,144.0
3793,3794,1,12,1981,1,DO,M,36.0,49.0
3794,3795,1,12,1981,9,DM,F,36.0,33.0
3795,3796,1,12,1981,12,DM,M,36.0,61.0
3796,3797,1,12,1981,2,DO,F,37.0,43.0
3797,3798,1,12,1981,4,DM,M,38.0,53.0
3798,3799,1,12,1981,2,OL,M,20.0,39.0
3799,3800,1,12,1981,5,DM,M,37.0,56.0
3800,3801,1,12,1981,9,DS,F,51.0,142.0
3801,3802,1,12,1981,1,DS,M,52.0,153.0
3802,3803,1,12,1981,14,DM,M,36.0,52.0
3803,3804,1,12,1981,2,OL,F,20.0,34.0
3804,3805,1,12,1981,14,DM,F,36.0,44.0
3806,3807,1,12,1981,5,DM,M,36.0,33.0
3807,3808,1,12,1981,12,DM,F,37.0,46.0
3808,3809,1,31,1981,11,DM,M,38.0,47.0
3809,3810,1,31,1981,13,OL,F,21.0,42.0
3810,3811,1,31,1981,24,DO,F,37.0,41.0
3811,3812,1,31,1981,20,DM,M,36.0,42.0
3812,3813,1,31,1981,24,PE,F,19.0,25.0
3813,3814,1,31,1981,12,NL,F,32.0,195.0
3814,3815,1,31,1981,13,OL,F,21.0,35.0
3815,3816,1,31,1981,13,NL,F,30.0,135.0
3816,3817,1,31,1981,20,PE,F,20.0,25.0
3817,3818,1,31,1981,18,DS,F,50.0,137.0
3818,3819,1,31,1981,20,PE,M,21.0,24.0
3819,3820,1,31,1981,12,DS,M,51.0,132.0
3820,3821,1,31,1981,17,DS,F,50.0,143.0
3821,3822,1,31,1981,11,OL,F,21.0,37.0
