,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
18189,18190,1,11,1991,7,RM,F,17.0,11.0
18190,18191,1,11,1991,12,OL,M,21.0,31.0
18191,18192,1,11,1991,17,RM,F,16.0,9.0
18192,18193,1,11,1991,2,DM,F,34.0,48.0
18193,18194,1,11,1991,12,DO,F,36.0,36.0
18194,18195,1,11,1991,21,RM,M,16.0,11.0
18195,18196,1,11,1991,1,DM,M,37.0,43.0
18196,18197,1,11,1991,12,OL,F,20.0,31.0
18197,18198,1,11,1991,12,OL,M,21.0,32.0
18199,18200,1,11,1991,24,PE,M,21.0,21.0
18200,18201,1,11,1991,2,DM,M,37.0,51.0
18201,18202,1,11,1991,12,OL,M,21.0,35.0
18202,18203,1,11,1991,18,PF,F,15.0,8.0
18203,18204,1,11,1991,20,RM,F,16.0,14.0
18204,18205,1,11,1991,17,DM,F,36.0,40.0
18205,18206,1,11,1991,7,RM,F,16.0,8.0
18206,18207,1,11,1991,19,RM,M,15.0,11.0
18207,18208,1,11,1991,1,DO,F,37.0,53.0
18208,18209,1,11,1991,12,OL,F,21.0,25.0
18209,18210,1,11,1991,1,DO,M,35.0,54.0
18210,18211,1,11,1991,24,RM,F,17.0,12.0
18211,18212,1,11,1991,19,RM,F,14.0,7.0
18212,18213,1,11,1991,12,DO,F,36.0,47.0
18213,18214,1,11,1991,19,RM,F,15.0,14.0
18214,18215,1,11,1991,17,RM,M,17.0,9.0
18215,18216,1,11,1991,2,RM,M,17.0,10.0
18216,18217,1,11,1991,19,PE,M,20.0,16.0
18217,18218,1,11,1991,2,DO,M,36.0,52.0
18218,18219,1,11,1991,2,DO,F,37.0,44.0
18219,18220,1,11,1991,24,RM,M,17.0,10.0
18220,18221,1,11,1991,12,DO,M,36.0,59.0
18221,18222,1,11,1991,18,PF,M,15.0,7.0
18222,18223,1,11,1991,17,RM,M,16.0,8.0
18223,18224,1,11,1991,20,RM,M,17.0,10.0
18225,18226,1,11,1991,19,RM,M,16.0,10.0
18227,18228,1,11,1991,2,OT,M,20.0,22.0
18228,18229,1,11,1991,12,DM,F,35.0,39.0
18229,18230,1,11,1991,19,OT,F,21.0,24.0
18230,18231,1,11,1991,1,DO,M,36.0,55.0
18231,18232,1,11,1991,2,OT,F,20.0,25.0
18232,18233,1,11,1991,7,RM,F,16.0,11.0
18233,18234,1,11,1991,23,RM,M,17.0,11.0
18234,18235,1,11,1991,22,DS,F,54.0,108.0
18235,18236,1,11,1991,19,RM,M,16.0,10.0
18236,18237,1,11,1991,19,RM,M,16.0,8.0
18237,18238,1,11,1991,23,RM,F,17.0,11.0
18238,18239,1,11,1991,20,RM,F,15.0,9.0
18239,18240,1,11,1991,18,NL,F,34.0,188.0
18240,18241,1,11,1991,17,RM,M,16.0,11.0
18241,18242,1,11,1991,22,OT,F,21.0,24.0
18242,18243,1,11,1991,21,RM,F,16.0,15.0
18243,18244,1,11,1991,18,OT,M,21.0,25.0
18244,18245,1,11,1991,17,DO,F,31.0,45.0
18245,18246,1,11,1991,22,OT,M,21.0,20.0
18246,18247,1,11,1991,2,DO,F,36.0,46.0
18247,18248,1,11,1991,7,PE,F,16.0,25.0
18248,18249,1,11,1991,17,NL,M,31.0,162.0
18249,18250,1,11,1991,24,RM,M,12.0,9.0
18250,18251,1,11,1991,20,PF,M,15.0,7.0
18251,18252,1,12,1991,3,BA,F,14.0,9.0
18252,18253,1,12,1991,15,PF,M,15.0,7.0
18253,18254,1,12,1991,13,RM,F,16.0,10.0
18254,18255,1,12,1991,14,DM,M,36.0,46.0
18255,18256,1,12,1991,13,PE,M,20.0,17.0
18256,18257,1,12,1991,8,DM,F,35.0,41.0
18257,18258,1,12,1991,16,RM,M,17.0,11.0
18258,18259,1,12,1991,11,OL,M,24.0,32.0
18259,18260,1,12,1991,15,RM,F,17.0,13.0
18260,18261,1,12,1991,14,DM,F,36.0,38.0
18261,18262,1,12,1991,14,DM,F,36.0,40.0
18262,18263,1,12,1991,9,DM,M,37.0,47.0
18263,18264,1,12,1991,14,DM,M,36.0,43.0
18264,18265,1,12,1991,4,RM,F,15.0,10.0
18265,18266,1,12,1991,4,DM,M,37.0,42.0
18266,18267,1,12,1991,11,DM,F,35.0,46.0
18267,18268,1,12,1991,8,DM,M,37.0,45.0
18268,18269,1,12,1991,14,DM,F,37.0,36.0
18269,18270,1,12,1991,6,RM,M,16.0,10.0
18270,18271,1,12,1991,4,DM,M,37.0,43.0
18271,18272,1,12,1991,3,RM,M,16.0,9.0
18272,18273,1,12,1991,11,DO,M,37.0,55.0
18273,18274,1,12,1991,14,RM,M,11.0,10.0
18274,18275,1,12,1991,4,DM,M,37.0,42.0
18275,18276,1,12,1991,11,DM,M,37.0,49.0
18276,18277,1,12,1991,3,OT,F,20.0,25.0
18277,18278,1,12,1991,11,DM,F,36.0,37.0
18278,18279,1,12,1991,8,DM,M,36.0,37.0
18279,18280,1,12,1991,13,RM,M,16.0,10.0
18280,18281,1,12,1991,5,RM,F,16.0,8.0
18281,18282,1,12,1991,16,RM,M,16.0,10.0
18282,18283,1,12,1991,4,DM,M,36.0,40.0
18283,18284,1,12,1991,9,DM,F,36.0,42.0
18284,18285,1,12,1991,8,DM,M,36.0,51.0
18285,18286,1,12,1991,5,RM,M,17.0,9.0
18286,18287,1,12,1991,4,DM,F,35.0,25.0
18287,18288,1,12,1991,5,PP,F,21.0,15.0
18288,18289,1,12,1991,4,DM,F,37.0,41.0
18289,18290,1,12,1991,9,DM,M,37.0,47.0
18290,18291,1,12,1991,3,DM,M,35.0,40.0
18292,18293,1,12,1991,6,RM,F,15.0,11.0
18293,18294,1,12,1991,4,DM,F,36.0,41.0
18294,18295,1,12,1991,9,DM,M,36.0,48.0
